numel,op,scalar_ms,avx2_ms,speedup
64,add,0.005620,0.000896,6.272485
64,sub,0.001145,0.000907,1.262404
64,mul,0.001087,0.000884,1.229620
64,div,0.006267,0.006199,1.010971
128,add,0.010936,0.001505,7.266356
128,sub,0.001727,0.001553,1.112051
128,mul,0.001700,0.001502,1.131808
128,div,0.012380,0.012355,1.002024
256,add,0.020738,0.003534,5.868100
256,sub,0.002953,0.003543,0.833483
256,mul,0.003902,0.003554,1.097909
256,div,0.024703,0.024685,1.000729
512,add,0.040622,0.005204,7.805930
512,sub,0.005474,0.005188,1.055124
512,mul,0.005366,0.005207,1.030535
512,div,0.075532,0.013445,5.617854
1024,add,0.043472,0.008347,5.208095
1024,sub,0.006990,0.008291,0.843084
1024,mul,0.007134,0.008335,0.855908
1024,div,0.025704,0.025687,1.000662
2048,add,0.085392,0.015230,5.606829
2048,sub,0.014893,0.015197,0.979995
2048,mul,0.015648,0.015118,1.035060
2048,div,0.051346,0.051357,0.999786
4096,add,0.166909,0.028982,5.759061
4096,sub,0.028219,0.028973,0.973975
4096,mul,0.030024,0.029729,1.009922
4096,div,0.107380,0.102640,1.046181
8192,add,0.442452,0.089188,4.960891
8192,sub,0.071503,0.071455,1.000671
8192,mul,0.071485,0.074121,0.964437
8192,div,0.195689,0.135086,1.448625
16384,add,0.586136,0.149834,3.911902
16384,sub,0.146608,0.146581,1.000184
16384,mul,0.146759,0.146604,1.001057
16384,div,0.272323,0.270094,1.008253
32768,add,1.451373,0.609547,2.381068
32768,sub,0.629786,0.623556,1.009991
32768,mul,0.627514,0.612327,1.024802
32768,div,2.908428,2.751936,1.056866
65536,add,4.639747,1.060678,4.374322
65536,sub,0.836522,0.594977,1.405974
65536,mul,0.590372,0.611216,0.965898
65536,div,1.093044,1.093664,0.999433
131072,add,5.223514,2.682515,1.947245
131072,sub,2.668359,2.643891,1.009255
131072,mul,2.636862,3.170771,0.831615
131072,div,2.728599,2.665763,1.023571
262144,add,10.371936,9.221933,1.124703
262144,sub,11.212719,8.255730,1.358174
262144,mul,7.652988,7.725694,0.990589
262144,div,7.536427,7.181564,1.049413
524288,add,22.103429,14.726090,1.500971
524288,sub,15.988079,20.413058,0.783228
524288,mul,15.899127,16.432549,0.967539
524288,div,15.991369,13.895894,1.150798
1048576,add,45.005121,34.843379,1.291641
1048576,sub,29.577844,28.141531,1.051039
1048576,mul,30.555369,31.203123,0.979241
1048576,div,30.072492,28.830312,1.043086
2097152,add,172.711109,116.361348,1.484265
2097152,sub,83.863554,67.824404,1.236481
2097152,mul,85.734696,101.194035,0.847231
2097152,div,135.918070,131.598625,1.032823
4194304,add,434.281743,254.809915,1.704336
4194304,sub,221.986249,311.639675,0.712317
4194304,mul,272.644210,201.389242,1.353817
4194304,div,260.713725,277.566007,0.939285
8388608,add,523.390930,836.217345,0.625903
8388608,sub,581.142928,808.938036,0.718402
8388608,mul,572.759475,818.922460,0.699406
8388608,div,565.372619,821.402075,0.688302
16777216,add,1179.005019,956.662530,1.232415
16777216,sub,991.922187,963.241308,1.029775
16777216,mul,981.132405,948.868249,1.034003
16777216,div,1467.957294,1469.957600,0.998639
